text,label
I feel so happy today,Happy
This is the best day ever,Happy
I am feeling great,Happy
Life is beautiful,Happy
I am very excited,Happy
I love this moment,Happy
Everything is going well,Happy
I feel joyful,Happy
This made me smile,Happy
I am in a good mood,Happy
I feel sad and lonely,Sad
This is a terrible day,Sad
I am feeling down,Sad
I feel so depressed,Sad
Nothing is going right,Sad
I feel like crying,Sad
I am very unhappy,Sad
Life is hard,Sad
I feel empty,Sad
This hurts a lot,Sad
I am so angry right now,Angry
This makes me furious,Angry
I hate this situation,Angry
I am very upset,Angry
This is so annoying,Angry
I feel rage inside,Angry
Why is this happening,Angry
I am losing my temper,Angry
This is unacceptable,Angry
I am very frustrated,Angry
I feel normal,Neutral
Nothing special today,Neutral
I am just okay,Neutral
This is average,Neutral
I feel fine,Neutral
It is an ordinary day,Neutral
I am not feeling anything,Neutral
Everything is neutral,Neutral
Just another day,Neutral
No strong feelings,Neutral
I am surprised by this,Surprise
This is unexpected,Surprise
Wow I did not expect that,Surprise
This shocked me,Surprise
I am amazed,Surprise
That was surprising,Surprise
I did not see that coming,Surprise
This is unbelievable,Surprise
I am stunned,Surprise
That was sudden,Surprise
I am scared, Fear
This is frightening,Fear
I feel nervous,Fear
I am worried,Fear
This situation scares me,Fear
I feel anxious,Fear
I am afraid,Fear
This is terrifying,Fear
I feel panic,Fear
Something is wrong,Fear
I feel very happy about my success,Happy
I am glad things worked out,Happy
This brings me joy,Happy
I am cheerful today,Happy
I feel blessed,Happy
I am content,Happy
Everything feels right,Happy
I am delighted,Happy
This is wonderful,Happy
I feel positive,Happy
I feel heartbroken,Sad
I am grieving,Sad
This makes me cry,Sad
I feel hopeless,Sad
I am disappointed,Sad
This is painful,Sad
I feel miserable,Sad
I am sorrowful,Sad
I feel rejected,Sad
I am tired of everything,Sad
I am mad at this,Angry
This is irritating,Angry
I feel insulted,Angry
This is unfair,Angry
I am offended,Angry
I feel disrespected,Angry
This is ridiculous,Angry
I am annoyed,Angry
This is frustrating me,Angry
I cannot tolerate this,Angry
I feel relaxed and calm,Neutral
Nothing bothers me today,Neutral
I am peaceful right now,Neutral
I feel shocked by the news,Surprise
That was totally unexpected,Surprise
I am terrified of this situation,Fear
This makes me uneasy,Fear
I feel a bit scared,Fear
I am extremely happy with the results,Happy
This makes me very sad,Sad
